match_id,SetNo,GameNo,PointNumber,point_idx,perspective,server_is_persp,pts_in_game_for,pts_in_game_against,games_in_set_for,games_in_set_against,sets_for,sets_against,best_of,sets_needed_to_win,is_tiebreak,is_game_point_for,is_game_point_against,is_break_point,ttl_diff,aces_diff,df_diff
2013-usopen-2101,2,2,39,39,P1,1,1,1,1,0,1,0,5,3,0,0,0,0,20,1.0,-4.0
2013-usopen-2101,2,2,40,40,P1,1,2,1,1,0,1,0,5,3,0,0,0,0,21,1.0,-4.0
2013-usopen-2101,2,2,41,41,P1,1,3,1,1,0,1,0,5,3,0,1,0,0,22,1.0,-4.0
2013-usopen-2101,2,2,42,42,P1,1,3,2,1,0,1,0,5,3,0,1,0,0,21,1.0,-4.0
2013-usopen-2101,2,2,43,43,P1,1,3,3,1,0,1,0,5,3,0,0,0,0,20,1.0,-4.0
2013-usopen-2101,2,2,44,44,P1,1,4,3,1,0,1,0,5,3,0,1,0,0,21,1.0,-4.0
2013-usopen-2101,2,3,45,45,P1,0,5,3,2,0,1,0,5,3,0,0,0,0,22,1.0,-4.0
2013-usopen-2101,2,3,46,46,P1,0,1,0,2,0,1,0,5,3,0,0,0,0,23,1.0,-5.0
2013-usopen-2101,2,3,47,47,P1,0,2,0,2,0,1,0,5,3,0,0,0,0,24,1.0,-6.0
2013-usopen-2101,2,3,48,48,P1,0,2,1,2,0,1,0,5,3,0,0,0,0,23,1.0,-6.0
2013-usopen-2101,2,3,49,49,P1,0,2,2,2,0,1,0,5,3,0,0,0,0,22,1.0,-6.0
2013-usopen-2101,2,3,50,50,P1,0,3,2,2,0,1,0,5,3,0,1,0,1,23,1.0,-6.0
2013-usopen-2101,2,4,51,51,P1,1,4,2,3,0,1,0,5,3,0,0,0,0,24,1.0,-6.0
2013-usopen-2101,2,4,52,52,P1,1,1,0,3,0,1,0,5,3,0,0,0,0,25,1.0,-6.0
2013-usopen-2101,2,4,53,53,P1,1,1,1,3,0,1,0,5,3,0,0,0,0,24,1.0,-6.0
2013-usopen-2101,2,4,54,54,P1,1,2,1,3,0,1,0,5,3,0,0,0,0,25,1.0,-6.0
2013-usopen-2101,2,4,55,55,P1,1,2,2,3,0,1,0,5,3,0,0,0,0,24,1.0,-6.0
2013-usopen-2101,2,4,56,56,P1,1,3,2,3,0,1,0,5,3,0,1,0,0,25,1.0,-6.0
2013-usopen-2101,2,5,57,57,P1,0,4,2,4,0,1,0,5,3,0,0,0,0,26,1.0,-6.0
2013-usopen-2101,2,5,58,58,P1,0,0,1,4,0,1,0,5,3,0,0,0,0,25,1.0,-6.0
2013-usopen-2101,2,5,59,59,P1,0,0,2,4,0,1,0,5,3,0,0,0,0,24,1.0,-6.0
2013-usopen-2101,2,5,60,60,P1,0,1,2,4,0,1,0,5,3,0,0,0,0,25,1.0,-7.0
2013-usopen-2101,2,5,61,61,P1,0,2,2,4,0,1,0,5,3,0,0,0,0,26,1.0,-7.0
2013-usopen-2101,2,5,62,62,P1,0,3,2,4,0,1,0,5,3,0,1,0,1,27,1.0,-8.0
2013-usopen-2101,2,5,63,63,P1,0,3,3,4,0,1,0,5,3,0,0,0,0,26,1.0,-8.0
2013-usopen-2101,2,5,64,64,P1,0,3,4,4,0,1,0,5,3,0,0,1,0,25,1.0,-8.0
2013-usopen-2101,2,6,65,65,P1,1,3,5,4,1,1,0,5,3,0,0,0,0,24,1.0,-8.0
2013-usopen-2101,2,6,66,66,P1,1,1,0,4,1,1,0,5,3,0,0,0,0,25,1.0,-8.0
2013-usopen-2101,2,6,67,67,P1,1,1,1,4,1,1,0,5,3,0,0,0,0,24,1.0,-8.0
2013-usopen-2101,2,6,68,68,P1,1,2,1,4,1,1,0,5,3,0,0,0,0,25,1.0,-8.0
2013-usopen-2101,2,6,69,69,P1,1,3,1,4,1,1,0,5,3,0,1,0,0,26,1.0,-8.0
2013-usopen-2101,2,7,70,70,P1,0,4,1,5,1,1,0,5,3,0,0,0,0,27,1.0,-8.0
2013-usopen-2101,2,7,71,71,P1,0,1,0,5,1,1,0,5,3,0,0,0,0,28,1.0,-8.0
2013-usopen-2101,2,7,72,72,P1,0,1,1,5,1,1,0,5,3,0,0,0,0,27,1.0,-8.0
2013-usopen-2101,2,7,73,73,P1,0,2,1,5,1,1,0,5,3,0,0,0,0,28,1.0,-8.0
2013-usopen-2101,2,7,74,74,P1,0,3,1,5,1,1,0,5,3,0,1,0,1,29,1.0,-8.0
2013-usopen-2101,2,7,75,75,P1,0,3,2,5,1,1,0,5,3,0,1,0,1,28,1.0,-8.0
2013-usopen-2101,1,1,1,1,P2,1,0,0,0,0,0,0,5,3,0,0,0,0,0,-0.0,-0.0
2013-usopen-2101,1,1,2,2,P2,1,0,1,0,0,0,0,5,3,0,0,0,0,-1,-0.0,-0.0
2013-usopen-2101,1,1,3,3,P2,1,0,2,0,0,0,0,5,3,0,0,0,0,-2,-0.0,-0.0
2013-usopen-2101,1,1,4,4,P2,1,1,2,0,0,0,0,5,3,0,0,0,0,-1,-0.0,-0.0
2013-usopen-2101,1,1,5,5,P2,1,1,3,0,0,0,0,5,3,0,0,1,0,-2,-0.0,-0.0
2013-usopen-2101,1,2,6,6,P2,0,1,4,0,1,0,0,5,3,0,0,0,0,-3,-0.0,-0.0
2013-usopen-2101,1,2,7,7,P2,0,0,1,0,1,0,0,5,3,0,0,0,0,-4,-0.0,-0.0
2013-usopen-2101,1,2,8,8,P2,0,1,1,0,1,0,0,5,3,0,0,0,0,-3,-0.0,-0.0
2013-usopen-2101,1,2,9,9,P2,0,1,2,0,1,0,0,5,3,0,0,0,0,-4,-0.0,-0.0
2013-usopen-2101,1,2,10,10,P2,0,2,2,0,1,0,0,5,3,0,0,0,0,-3,-0.0,-0.0
2013-usopen-2101,1,2,11,11,P2,0,2,3,0,1,0,0,5,3,0,0,1,0,-4,-0.0,-0.0
2013-usopen-2101,1,3,12,12,P2,1,2,4,0,2,0,0,5,3,0,0,0,0,-5,-0.0,-0.0
2013-usopen-2101,1,3,13,13,P2,1,0,1,0,2,0,0,5,3,0,0,0,0,-6,-0.0,-0.0
2013-usopen-2101,1,3,14,14,P2,1,0,2,0,2,0,0,5,3,0,0,0,0,-7,-0.0,1.0
2013-usopen-2101,1,3,15,15,P2,1,0,3,0,2,0,0,5,3,0,0,1,0,-8,-0.0,1.0
2013-usopen-2101,1,3,16,16,P2,1,1,3,0,2,0,0,5,3,0,0,1,0,-7,-0.0,1.0
2013-usopen-2101,1,4,17,17,P2,0,1,4,0,3,0,0,5,3,0,0,0,0,-8,-0.0,1.0
2013-usopen-2101,1,4,18,18,P2,0,0,1,0,3,0,0,5,3,0,0,0,0,-9,-0.0,1.0
2013-usopen-2101,1,4,19,19,P2,0,0,2,0,3,0,0,5,3,0,0,0,0,-10,-0.0,1.0
2013-usopen-2101,1,4,20,20,P2,0,0,3,0,3,0,0,5,3,0,0,1,0,-11,-0.0,1.0
2013-usopen-2101,1,5,21,21,P2,1,0,4,0,4,0,0,5,3,0,0,0,0,-12,-0.0,1.0
2013-usopen-2101,1,5,22,22,P2,1,0,1,0,4,0,0,5,3,0,0,0,0,-13,-0.0,1.0
2013-usopen-2101,1,5,23,23,P2,1,0,2,0,4,0,0,5,3,0,0,0,0,-14,-0.0,1.0
2013-usopen-2101,1,5,24,24,P2,1,0,3,0,4,0,0,5,3,0,0,1,0,-15,-0.0,1.0
2013-usopen-2101,1,6,25,25,P2,0,0,4,0,5,0,0,5,3,0,0,0,0,-16,-0.0,2.0
2013-usopen-2101,1,6,26,26,P2,0,0,1,0,5,0,0,5,3,0,0,0,0,-17,-0.0,2.0
2013-usopen-2101,1,6,27,27,P2,0,1,1,0,5,0,0,5,3,0,0,0,0,-16,-0.0,2.0
2013-usopen-2101,1,6,28,28,P2,0,1,2,0,5,0,0,5,3,0,0,0,0,-17,-0.0,2.0
2013-usopen-2101,1,6,29,29,P2,0,1,3,0,5,0,0,5,3,0,0,1,0,-18,-0.0,2.0
2013-usopen-2101,1,6,30,30,P2,0,2,3,0,5,0,0,5,3,0,0,1,0,-17,-0.0,2.0
2013-usopen-2101,2,1,31,31,P2,1,2,4,0,0,0,1,5,3,0,0,0,0,-18,-1.0,2.0
2013-usopen-2101,2,1,32,32,P2,1,0,1,0,0,0,1,5,3,0,0,0,0,-19,-1.0,3.0
2013-usopen-2101,2,1,33,33,P2,1,0,2,0,0,0,1,5,3,0,0,0,0,-20,-1.0,3.0
2013-usopen-2101,2,1,34,34,P2,1,1,2,0,0,0,1,5,3,0,0,0,0,-19,-1.0,3.0
2013-usopen-2101,2,1,35,35,P2,1,2,2,0,0,0,1,5,3,0,0,0,0,-18,-1.0,3.0
2013-usopen-2101,2,1,36,36,P2,1,2,3,0,0,0,1,5,3,0,0,1,0,-19,-1.0,4.0
2013-usopen-2101,2,2,37,37,P2,0,2,4,0,1,0,1,5,3,0,0,0,0,-20,-1.0,4.0
2013-usopen-2101,2,2,38,38,P2,0,0,1,0,1,0,1,5,3,0,0,0,0,-21,-1.0,4.0
2013-usopen-2101,2,2,39,39,P2,0,1,1,0,1,0,1,5,3,0,0,0,0,-20,-1.0,4.0
2013-usopen-2101,2,2,40,40,P2,0,1,2,0,1,0,1,5,3,0,0,0,0,-21,-1.0,4.0
2013-usopen-2101,2,2,41,41,P2,0,1,3,0,1,0,1,5,3,0,0,1,0,-22,-1.0,4.0
2013-usopen-2101,2,2,42,42,P2,0,2,3,0,1,0,1,5,3,0,0,1,0,-21,-1.0,4.0
2013-usopen-2101,2,2,43,43,P2,0,3,3,0,1,0,1,5,3,0,0,0,0,-20,-1.0,4.0
2013-usopen-2101,2,2,44,44,P2,0,3,4,0,1,0,1,5,3,0,0,1,0,-21,-1.0,4.0
2013-usopen-2101,2,3,45,45,P2,1,3,5,0,2,0,1,5,3,0,0,0,0,-22,-1.0,4.0
2013-usopen-2101,2,3,46,46,P2,1,0,1,0,2,0,1,5,3,0,0,0,0,-23,-1.0,5.0
2013-usopen-2101,2,3,47,47,P2,1,0,2,0,2,0,1,5,3,0,0,0,0,-24,-1.0,6.0
2013-usopen-2101,2,3,48,48,P2,1,1,2,0,2,0,1,5,3,0,0,0,0,-23,-1.0,6.0
2013-usopen-2101,2,3,49,49,P2,1,2,2,0,2,0,1,5,3,0,0,0,0,-22,-1.0,6.0
2013-usopen-2101,2,3,50,50,P2,1,2,3,0,2,0,1,5,3,0,0,1,0,-23,-1.0,6.0
2013-usopen-2101,2,4,51,51,P2,0,2,4,0,3,0,1,5,3,0,0,0,0,-24,-1.0,6.0
2013-usopen-2101,2,4,52,52,P2,0,0,1,0,3,0,1,5,3,0,0,0,0,-25,-1.0,6.0
2013-usopen-2101,2,4,53,53,P2,0,1,1,0,3,0,1,5,3,0,0,0,0,-24,-1.0,6.0
2013-usopen-2101,2,4,54,54,P2,0,1,2,0,3,0,1,5,3,0,0,0,0,-25,-1.0,6.0
2013-usopen-2101,2,4,55,55,P2,0,2,2,0,3,0,1,5,3,0,0,0,0,-24,-1.0,6.0
2013-usopen-2101,2,4,56,56,P2,0,2,3,0,3,0,1,5,3,0,0,1,0,-25,-1.0,6.0
2013-usopen-2101,2,5,57,57,P2,1,2,4,0,4,0,1,5,3,0,0,0,0,-26,-1.0,6.0
2013-usopen-2101,2,5,58,58,P2,1,1,0,0,4,0,1,5,3,0,0,0,0,-25,-1.0,6.0
2013-usopen-2101,2,5,59,59,P2,1,2,0,0,4,0,1,5,3,0,0,0,0,-24,-1.0,6.0
2013-usopen-2101,2,5,60,60,P2,1,2,1,0,4,0,1,5,3,0,0,0,0,-25,-1.0,7.0
2013-usopen-2101,2,5,61,61,P2,1,2,2,0,4,0,1,5,3,0,0,0,0,-26,-1.0,7.0
2013-usopen-2101,2,5,62,62,P2,1,2,3,0,4,0,1,5,3,0,0,1,0,-27,-1.0,8.0
2013-usopen-2101,2,5,63,63,P2,1,3,3,0,4,0,1,5,3,0,0,0,0,-26,-1.0,8.0
2013-usopen-2101,2,5,64,64,P2,1,4,3,0,4,0,1,5,3,0,1,0,0,-25,-1.0,8.0
2013-usopen-2101,2,6,65,65,P2,0,5,3,1,4,0,1,5,3,0,0,0,0,-24,-1.0,8.0
2013-usopen-2101,2,6,66,66,P2,0,0,1,1,4,0,1,5,3,0,0,0,0,-25,-1.0,8.0
2013-usopen-2101,2,6,67,67,P2,0,1,1,1,4,0,1,5,3,0,0,0,0,-24,-1.0,8.0
2013-usopen-2101,2,6,68,68,P2,0,1,2,1,4,0,1,5,3,0,0,0,0,-25,-1.0,8.0
2013-usopen-2101,2,6,69,69,P2,0,1,3,1,4,0,1,5,3,0,0,1,0,-26,-1.0,8.0
2013-usopen-2101,2,7,70,70,P2,1,1,4,1,5,0,1,5,3,0,0,0,0,-27,-1.0,8.0
2013-usopen-2101,2,7,71,71,P2,1,0,1,1,5,0,1,5,3,0,0,0,0,-28,-1.0,8.0
2013-usopen-2101,2,7,72,72,P2,1,1,1,1,5,0,1,5,3,0,0,0,0,-27,-1.0,8.0
2013-usopen-2101,2,7,73,73,P2,1,1,2,1,5,0,1,5,3,0,0,0,0,-28,-1.0,8.0
2013-usopen-2101,2,7,74,74,P2,1,1,3,1,5,0,1,5,3,0,0,1,0,-29,-1.0,8.0
2013-usopen-2101,2,7,75,75,P2,1,2,3,1,5,0,1,5,3,0,0,1,0,-28,-1.0,8.0
